ym:s:clientID,ym:s:visitID,ym:s:watchIDs,ym:s:date,ym:s:dateTime,ym:s:isNewUser,ym:s:startURL,ym:s:endURL,ym:s:pageViews,ym:s:visitDuration,ym:s:regionCountry,ym:s:regionCity,ym:s:<attribution>TrafficSource,ym:s:<attribution>AdvEngine,ym:s:<attribution>ReferalSource,ym:s:<attribution>SearchEngineRoot,ym:s:<attribution>SearchEngine,ym:s:<attribution>SocialNetwork,ym:s:referer,ym:s:<attribution>DirectClickOrder,ym:s:<attribution>DirectBannerGroup,ym:s:<attribution>DirectClickBanner,ym:s:<attribution>DirectClickOrderName,ym:s:<attribution>ClickBannerGroupName,ym:s:<attribution>DirectClickBannerName,ym:s:<attribution>DirectPlatformType,ym:s:<attribution>DirectPlatform,ym:s:<attribution>DirectConditionType,ym:s:<attribution>UTMCampaign,ym:s:<attribution>UTMContent,ym:s:<attribution>UTMMedium,ym:s:<attribution>UTMSource,ym:s:<attribution>UTMTerm,ym:s:deviceCategory,ym:s:mobilePhone,ym:s:mobilePhoneModel,ym:s:browser,ym:s:screenFormat,ym:s:screenOrientation,ym:s:physicalScreenWidth,ym:s:physicalScreenHeight,ym:s:<attribution>Messenger,ym:s:<attribution>RecommendationSystem
1749336812839765526,3147199673685508444,"[3147199673685508444,3147204580652089569]",2025-06-08,2025-06-08 01:53:32,1,https://profi-filter.ru/hepa-filtry,https://profi-filter.ru/hepa-filtry,1,20,Russia,,ad,ya_undefined,,,,,,,0,0,0,,0,,,,HEPA_VIGODNOE_PREDLOGENIE_RSYA,12241013296,cpc,yandex_rsya,---autotargeting,2,xiaomi,220733sfg,android_browser,9:21,1,360,800,,
1749389958661005727,3161113148912304430,"[3161113148912304430,3161117952842399774]",2025-06-08,2025-06-08 16:38:09,1,https://profi-filter.ru/blog/filtry-m5-f5-i-f7-v-chyom-otlichie,https://profi-filter.ru/blog/filtry-m5-f5-i-f7-v-chyom-otlichie,1,19,Russia,,organic,ya_undefined,,yandex,yandex_search,,https://ya.ru/,,0,0,0,,0,,,,,,,,,1,,,opera,16:10,2,1440,900,,
1749373350436260035,3156777368697176116,"[3156777368697176116,3156781319426408714]",2025-06-08,2025-06-08 12:02:29,1,https://profi-filter.ru/blog/filtry-dlya-laminarnyh-boksov,https://profi-filter.ru/blog/filtry-dlya-laminarnyh-boksov,1,16,Russia,Volgograd,organic,ya_undefined,,google,google_search,,https://google.com/,,0,0,0,,0,,,,,,,,,2,apple,iPhone,googlesearch,9:21,1,828,1792,,
1748856658817739137,3161792544717406243,"[3161792544717406243,3161798883745202456]",2025-06-08,2025-06-08 17:21:21,0,https://profi-filter.ru/hepa-filtry,https://profi-filter.ru/hepa-filtry,1,24,Tajikistan,Dushanbe,ad,ya_direct,,,,,,74950785,4931621258,12241013299,ХЕПА / РСЯ,фильтр повышенной производительности,Фильтры повышенной производительности от Производителя,Context,com.lenovo.anyshare.gps,11,HEPA_VIGODNOE_PREDLOGENIE_RSYA,12241013299,cpc,yandex_rsya,---autotargeting,2,xiaomi,REDMI NOTE 10 PRO,chromemobile,9:21,1,1080,2400,,
1749370192992532604,3160265368354685212,"[3160265368354685212,3160265638516621569,3160265776907419932,3160497449560178972,3160269757690675263]",2025-06-08,2025-06-08 15:44:15,0,https://profi-filter.ru/,https://profi-filter.ru/allfilters,2,885,Russia,Saint Petersburg,organic,ya_undefined,,google,google_search,,https://google.com/,,0,0,0,,0,,,,,,,,,1,,,chrome,16:9,2,1536,864,,
17492200702259983,3162301412935729366,"[3162301412935729366,3162399918852669491,3162425091990224947,3162305573568643123,3162403889068376115,3162429056798949396]",2025-06-08,2025-06-08 17:53:42,0,https://profi-filter.ru/hepa-filtry,https://profi-filter.ru/hepa-filtry,1,487,Russia,Grozniy,ad,ya_direct,,,,,,74950785,4931621256,12241013294,ХЕПА / РСЯ,высокотемпературные фильтры,Высокотемпературные фильтры HEPA от Производителя,Context,com.paper.princess.dress.up.games,11,HEPA_VIGODNOE_PREDLOGENIE_RSYA,12241013294,cpc,yandex_rsya,---autotargeting,2,,k,miui,9:21,1,720,1640,,
1748842181827490842,3157721477483331596,"[3157721477483331596,3157726207098487114]",2025-06-08,2025-06-08 13:02:31,0,https://profi-filter.ru/hepa-filtry,https://profi-filter.ru/hepa-filtry,1,18,Kyrgyzstan,,ad,ya_direct,,,,,,117216982,5529938456,16765494422,ХЕПА_ ФВА_РСЯ,Доставка_Все виды_ФВА_ХЕПА_РСЯ  ,Text ad,Context,com.block.puzzle.game.hippo.mi,phrase,HEPA_FVA_RSYA,16765494422,cpc,yandex_rsya,фильтр фва 2,2,xiaomi,23129raa4g,chromemobile,9:21,1,1080,2400,,
1749379996301325312,3158519628804128869,"[3158519628804128869,3158523902970822757]",2025-06-08,2025-06-08 13:53:16,1,https://profi-filter.ru/filtry-zhidkostnye-meshochnye/neylonovoe-monovolokno,https://profi-filter.ru/filtry-zhidkostnye-meshochnye/neylonovoe-monovolokno,1,16,Russia,,direct,ya_undefined,,,,,,,0,0,0,,0,,,,,,,,,1,,,chrome,16:9,2,1536,864,,
1748319108445209274,3146631863468556428,"[3146631863468556428,3146636636152660167]",2025-06-08,2025-06-08 01:17:27,0,https://profi-filter.ru/hepa-filtry,https://profi-filter.ru/hepa-filtry,1,19,Russia,Mirny,ad,ya_direct,,,,,,117216982,5529936549,16765478804,ХЕПА_ ФВА_РСЯ,Сертификаты_ФВА_ХЕПА_РСЯ  ,Text ad,Context,blockpuzzle.jewelgames.jewelslegend,phrase,HEPA_FVA_RSYA,16765478804,cpc,yandex_rsya,фильтр фва,2,samsung,sm-a155f,samsung_internet,3:5,1,1080,1856,,
1749282541174425420,3156586988871614506,[3156586988871614506],2025-06-08,2025-06-08 11:50:23,1,https://profi-filter.ru/blog/stepen-filtra-g4-f4-i-m5-f5-v-chem-raznica,https://profi-filter.ru/blog/stepen-filtra-g4-f4-i-m5-f5-v-chem-raznica,1,0,Russia,Nizhny Novgorod,organic,ya_undefined,,yandex,yandex_search,,https://yandex.ru/,,0,0,0,,0,,,,,,,,,2,apple,iPhone,safari_mobile,9:21,1,1170,2532,,
1737304939347720856,3159897122330640480,"[3159897122330640480,3159901336780144736]",2025-06-08,2025-06-08 15:20:50,1,https://profi-filter.ru/blog/filtry-m5-f5-i-f7-v-chyom-otlichie,https://profi-filter.ru/blog/filtry-m5-f5-i-f7-v-chyom-otlichie,1,16,Russia,Moscow,organic,ya_undefined,,yandex,yandex_mobile,,https://yandex.ru/,,0,0,0,,0,,,,,,,,,2,realme,rmx3661,opera_mobile,9:21,1,1080,2400,,
1749377630704358221,3157901999001829672,"[3157901999001829672,3157904797528228007]",2025-06-08,2025-06-08 13:13:59,1,https://profi-filter.ru/hepa-filtry,https://profi-filter.ru/hepa-filtry,1,11,Russia,Kostroma,ad,ya_undefined,,,,,http://dupontregistry.com/,,0,0,0,,0,,,,HEPA_VIGODNOE_PREDLOGENIE_RSYA,12241013282,cpc,yandex_rsya,---autotargeting,2,xiaomi,2201123g,chromemobile,9:21,1,2160,4800,,
